category,subcategory,easy,med,hard
Clicking,Dynamic,VT Pasu Novice S5,VT Pasu Intermediate S5,VT Pasu Advanced S5
Clicking,Dynamic,VT Popcorn Novice S5,VT Popcorn Intermediate S5,VT Popcorn Advanced S5
Clicking,Static,VT 1w3ts Novice S5,VT 1w3ts Intermediate S5,VT 1w3ts Advanced S5
Clicking,Static,VT ww5t Novice S5,VT ww5t Intermediate S5,VT ww5t Advanced S5
Clicking,Linear,VT Frogtagon Novice S5,VT Frogtagon Intermediate S5,VT Frogtagon Advanced S5
Clicking,Linear,VT Floating Heads Novice S5,VT Floating Heads Intermediate S5,VT Floating Heads Advanced S5
Tracking,Precise,VT PGT Novice S5,VT PGT Intermediate S5,VT PGT Advanced S5
Tracking,Precise,VT Snake Track Novice S5,VT Snake Track Intermediate S5,VT Snake Track Advanced S5
Tracking,Reactive,VT Aether Novice S5,VT Aether Intermediate S5,VT Aether Advanced S5
Tracking,Reactive,VT Ground Novice S5,VT Ground Intermediate S5,VT Ground Advanced S5
Tracking,Control,VT Raw Control Novice S5,VT Raw Control Intermediate S5,VT Raw Control Advanced S5
Tracking,Control,VT Controlsphere Novice S5,VT Controlsphere Intermediate S5,VT Controlsphere Advanced S5
Switching,Speed,VT DotTS Novice S5,VT DotTS Intermediate S5,VT DotTS Advanced S5
Switching,Speed,VT EddieTS Novice S5,VT EddieTS Intermediate S5,VT EddieTS Advanced S5
Switching,Evasive,VT DriftTS Novice S5,VT DriftTS Intermediate S5,VT DriftTS Advanced S5
Switching,Evasive,VT FlyTS Novice S5,VT FlyTS Intermediate S5,VT FlyTS Advanced S5
Switching,Stability,VT ControlTS Novice S5,VT ControlTS Intermediate S5,VT ControlTS Advanced S5
Switching,Stability,VT Penta Bounce Novice S5,VT Penta Bounce Intermediate S5,VT Penta Bounce Advanced S5
